freq,power
7895,2.36E-05
7895.5,1.86E-05
7896,1.40E-05
7896.5,2.24E-05
7897,1.71E-05
7897.5,8.00E-06
7898,7.49E-06
7898.5,1.59E-05
7899,3.62E-05
7899.5,2.74E-05
7900,2.64E-05
7900.5,1.46E-05
7901,5.97E-06
7901.5,1.70E-05
7902,1.97E-05
7902.5,1.74E-05
7903,1.48E-05
7903.5,1.71E-05
7904,8.48E-06
7904.5,1.73E-05
7905,1.17E-05
7905.5,9.93E-06
7906,8.50E-06
7906.5,1.77E-05
7907,1.32E-05
7907.5,6.92E-06
7908,8.01E-06
7908.5,1.47E-05
7909,1.34E-05
7909.5,1.09E-05
7910,1.66E-05
7910.5,2.04E-05
7911,1.50E-05
7911.5,1.33E-05
7912,1.73E-05
7912.5,9.09E-06
7913,1.33E-05
7913.5,9.54E-06
7914,1.17E-05
7914.5,1.50E-05
7915,1.46E-05
7915.5,7.38E-06
7916,2.15E-05
7916.5,2.32E-05
7917,9.87E-06
7917.5,8.16E-06
7918,1.57E-05
7918.5,1.64E-05
7919,1.24E-05
7919.5,8.18E-06
7920,1.40E-05
7920.5,2.29E-05
7921,1.64E-05
7921.5,1.22E-05
7922,1.42E-05
7922.5,2.28E-05
7923,2.36E-05
7923.5,1.97E-05
7924,1.14E-05
7924.5,1.69E-05
7925,1.52E-05
7925.5,9.85E-06
7926,1.67E-05
7926.5,1.94E-05
7927,1.68E-05
7927.5,2.26E-05
7928,1.49E-05
7928.5,1.88E-05
7929,2.61E-05
7929.5,1.89E-05
7930,1.14E-05
7930.5,8.84E-06
7931,1.56E-05
7931.5,2.63E-05
7932,1.04E-05
7932.5,1.24E-05
7933,9.01E-06
7933.5,1.38E-05
7934,1.74E-05
7934.5,2.35E-05
7935,1.97E-05
7935.5,1.32E-05
7936,1.23E-05
7936.5,1.30E-05
7937,1.95E-05
7937.5,1.06E-05
7938,7.64E-06
7938.5,1.22E-05
7939,1.40E-05
7939.5,1.69E-05
7940,2.04E-05
7940.5,1.20E-05
7941,1.73E-05
7941.5,1.37E-05
7942,1.84E-05
7942.5,1.71E-05
7943,1.12E-05
7943.5,1.38E-05
7944,1.63E-05
7944.5,1.36E-05
7945,2.10E-05
7945.5,1.96E-05
7946,1.43E-05
7946.5,1.39E-05
7947,2.79E-05
7947.5,2.99E-05
7948,9.57E-06
7948.5,1.73E-05
7949,2.11E-05
7949.5,1.83E-05
7950,1.46E-05
7950.5,7.11E-06
7951,1.18E-05
7951.5,1.55E-05
7952,1.53E-05
7952.5,1.42E-05
7953,1.33E-05
7953.5,1.32E-05
7954,1.49E-05
7954.5,2.25E-05
7955,2.98E-05
7955.5,2.65E-05
7956,2.17E-05
7956.5,1.51E-05
7957,1.26E-05
7957.5,1.05E-05
7958,9.41E-06
7958.5,7.91E-06
7959,1.27E-05
7959.5,1.66E-05
7960,8.70E-06
7960.5,7.78E-06
7961,9.27E-06
7961.5,1.23E-05
7962,2.15E-05
7962.5,1.04E-05
7963,9.71E-06
7963.5,1.40E-05
7964,2.02E-05
7964.5,1.68E-05
7965,1.32E-05
7965.5,1.23E-05
7966,1.86E-05
7966.5,1.83E-05
7967,2.21E-05
7967.5,1.51E-05
7968,1.20E-05
7968.5,1.15E-05
7969,1.85E-05
7969.5,2.13E-05
7970,9.38E-06
7970.5,1.07E-05
7971,1.44E-05
7971.5,8.82E-06
7972,1.02E-05
7972.5,1.49E-05
7973,9.59E-06
7973.5,1.29E-05
7974,2.14E-05
7974.5,1.73E-05
7975,2.00E-05
7975.5,2.63E-05
7976,2.10E-05
7976.5,2.03E-05
7977,2.15E-05
7977.5,1.43E-05
7978,1.50E-05
7978.5,1.67E-05
7979,1.83E-05
7979.5,1.80E-05
7980,9.65E-06
7980.5,1.07E-05
7981,1.36E-05
7981.5,1.24E-05
7982,1.89E-05
7982.5,2.16E-05
7983,1.21E-05
7983.5,1.67E-05
7984,2.73E-05
7984.5,1.91E-05
7985,1.08E-05
7985.5,1.65E-05
7986,9.26E-06
7986.5,1.13E-05
7987,1.35E-05
7987.5,1.65E-05
7988,3.53E-05
7988.5,1.56E-05
7989,9.74E-06
7989.5,4.20E-06
7990,9.98E-06
7990.5,1.03E-05
7991,1.35E-05
7991.5,1.85E-05
7992,2.47E-05
7992.5,2.11E-05
7993,1.38E-05
7993.5,1.54E-05
7994,1.82E-05
7994.5,2.20E-05
7995,1.16E-05
7995.5,1.65E-05
7996,1.31E-05
7996.5,1.74E-05
7997,2.05E-05
7997.5,2.32E-05
7998,1.23E-05
7998.5,1.23E-05
7999,9.63E-06
7999.5,7.45E-06
8000,1.02E-05
8000.5,1.77E-05
8001,1.94E-05
8001.5,1.26E-05
8002,1.30E-05
8002.5,1.74E-05
8003,1.92E-05
8003.5,2.33E-05
8004,2.47E-05
8004.5,1.84E-05
8005,2.06E-05
8005.5,1.26E-05
8006,1.58E-05
8006.5,1.60E-05
8007,1.63E-05
8007.5,7.51E-06
8008,8.22E-06
8008.5,1.29E-05
8009,1.54E-05
8009.5,1.59E-05
8010,1.33E-05
8010.5,2.75E-05
8011,3.65E-05
8011.5,2.93E-05
8012,2.27E-05
8012.5,2.58E-05
8013,1.45E-05
8013.5,1.37E-05
8014,2.39E-05
8014.5,2.06E-05
8015,1.38E-05
8015.5,2.20E-05
8016,9.84E-06
8016.5,1.60E-05
8017,2.83E-05
8017.5,2.33E-05
8018,2.16E-05
8018.5,1.32E-05
8019,1.28E-05
8019.5,1.17E-05
8020,1.91E-05
8020.5,3.08E-05
8021,2.93E-05
8021.5,1.64E-05
8022,1.61E-05
8022.5,3.03E-05
8023,2.01E-05
