Frequency [Hz] - Plot 0,nm^2/Hz - Plot 0,temp [K],averages
29744.5,2.10E-05,,
29745,1.66E-05,,
29745.5,2.34E-05,,
29746,2.56E-05,,
29746.5,3.05E-05,,
29747,2.53E-05,,
29747.5,2.71E-05,,
29748,2.66E-05,,
29748.5,2.95E-05,,
29749,2.86E-05,,
29749.5,1.86E-05,,
29750,3.05E-05,,
29750.5,2.76E-05,,
29751,2.18E-05,,
29751.5,2.09E-05,,
29752,1.11E-05,,
29752.5,2.13E-05,,
29753,3.10E-05,,
29753.5,2.94E-05,,
29754,2.99E-05,,
29754.5,1.96E-05,,
29755,1.96E-05,,
29755.5,2.72E-05,,
29756,4.28E-05,,
29756.5,3.52E-05,,
29757,2.75E-05,,
29757.5,2.60E-05,,
29758,2.36E-05,,
29758.5,2.22E-05,,
29759,2.15E-05,,
29759.5,2.15E-05,,
29760,2.07E-05,,
29760.5,1.28E-05,,
29761,2.37E-05,,
29761.5,2.64E-05,,
29762,2.05E-05,,
29762.5,2.16E-05,,
29763,3.08E-05,,
29763.5,1.67E-05,,
29764,1.77E-05,,
29764.5,1.90E-05,,
29765,1.79E-05,,
29765.5,2.65E-05,,
29766,3.07E-05,,
29766.5,2.75E-05,,
29767,3.07E-05,,
29767.5,4.39E-05,,
29768,3.87E-05,,
29768.5,2.72E-05,,
29769,1.77E-05,,
29769.5,1.60E-05,,
29770,2.27E-05,,
29770.5,2.31E-05,,
29771,2.89E-05,,
29771.5,2.49E-05,,
29772,1.86E-05,,
29772.5,3.08E-05,,
29773,2.80E-05,,
29773.5,2.45E-05,,
29774,1.87E-05,,
29774.5,1.60E-05,,
29775,2.65E-05,,
29775.5,3.38E-05,,
29776,2.63E-05,,
29776.5,2.67E-05,,
29777,2.73E-05,,
29777.5,3.28E-05,,
29778,2.46E-05,,
29778.5,2.46E-05,,
29779,2.65E-05,,
29779.5,2.10E-05,,
29780,2.11E-05,,
29780.5,2.68E-05,,
29781,2.03E-05,,
29781.5,1.29E-05,,
29782,2.05E-05,,
29782.5,1.60E-05,,
29783,3.42E-05,,
29783.5,3.51E-05,,
29784,2.48E-05,,
29784.5,1.72E-05,,
29785,2.30E-05,,
29785.5,2.69E-05,,
29786,1.42E-05,,
29786.5,2.47E-05,,
29787,2.70E-05,,
29787.5,2.60E-05,,
29788,3.83E-05,,
29788.5,2.93E-05,,
29789,2.69E-05,,
29789.5,2.58E-05,,
29790,3.43E-05,,
29790.5,3.27E-05,,
29791,2.73E-05,,
29791.5,2.57E-05,,
29792,2.50E-05,,
29792.5,2.06E-05,,
29793,2.22E-05,,
29793.5,2.14E-05,,
29794,1.54E-05,,
29794.5,1.50E-05,,
29795,1.59E-05,,
29795.5,2.07E-05,,
29796,2.32E-05,,
29796.5,2.38E-05,,
29797,3.43E-05,,
29797.5,3.30E-05,,
29798,2.82E-05,,
29798.5,3.11E-05,,
29799,3.39E-05,,
29799.5,3.07E-05,,
29800,2.36E-05,,
29800.5,2.00E-05,,
29801,2.10E-05,,
29801.5,1.96E-05,,
29802,2.14E-05,,
29802.5,2.03E-05,,
29803,1.91E-05,,
29803.5,1.58E-05,,
29804,1.85E-05,,
29804.5,2.00E-05,,
29805,2.87E-05,,
29805.5,2.69E-05,,
29806,1.95E-05,,
29806.5,3.67E-05,,
29807,2.51E-05,,
29807.5,1.95E-05,,
29808,2.60E-05,,
29808.5,2.02E-05,,
29809,1.47E-05,,
29809.5,1.82E-05,,
29810,2.55E-05,,
29810.5,1.99E-05,,
29811,2.30E-05,,
29811.5,2.47E-05,,
29812,2.90E-05,,
29812.5,3.45E-05,,
29813,2.23E-05,,
29813.5,2.21E-05,,
29814,2.56E-05,,
29814.5,2.51E-05,,
29815,2.37E-05,,
29815.5,2.44E-05,,
29816,3.16E-05,,
29816.5,2.39E-05,,
29817,1.82E-05,,
29817.5,1.62E-05,,
29818,1.69E-05,,
29818.5,2.14E-05,,
29819,2.61E-05,,
29819.5,2.88E-05,,
29820,2.67E-05,,
29820.5,2.97E-05,,
29821,2.94E-05,,
29821.5,2.52E-05,,
29822,1.89E-05,,
29822.5,2.11E-05,,
29823,3.33E-05,,
29823.5,2.98E-05,,
29824,1.61E-05,,
29824.5,1.81E-05,,
29825,1.79E-05,,
29825.5,1.64E-05,,
29826,1.84E-05,,
29826.5,1.82E-05,,
29827,2.04E-05,,
29827.5,1.69E-05,,
29828,1.91E-05,,
29828.5,2.77E-05,,
29829,1.96E-05,,
29829.5,1.37E-05,,
29830,2.79E-05,,
29830.5,2.86E-05,,
29831,2.81E-05,,
29831.5,3.08E-05,,
29832,3.04E-05,,
29832.5,2.89E-05,,
29833,1.83E-05,,
29833.5,2.02E-05,,
29834,1.87E-05,,
29834.5,2.07E-05,,
29835,1.97E-05,,
29835.5,2.39E-05,,
29836,2.93E-05,,
29836.5,2.49E-05,,
29837,3.00E-05,,
29837.5,2.38E-05,,
29838,2.43E-05,,
29838.5,2.72E-05,,
29839,3.04E-05,,
29839.5,2.85E-05,,
29840,3.23E-05,,
29840.5,2.38E-05,,
29841,3.17E-05,,
29841.5,2.84E-05,,
29842,2.46E-05,,
29842.5,2.81E-05,,
29843,2.27E-05,,
29843.5,2.69E-05,,
29844,3.06E-05,,
29844.5,2.08E-05,,
29845,1.78E-05,,
29845.5,1.85E-05,,
29846,2.90E-05,,
29846.5,2.10E-05,,
29847,1.33E-05,,
29847.5,2.61E-05,,
29848,2.33E-05,,
29848.5,1.97E-05,,
29849,1.70E-05,,
29849.5,1.98E-05,,
29850,2.76E-05,,
29850.5,3.45E-05,,
29851,3.58E-05,,
29851.5,3.17E-05,,
29852,1.94E-05,,
29852.5,2.82E-05,,
29853,3.40E-05,,
29853.5,3.14E-05,,
29854,3.36E-05,,
29854.5,2.03E-05,,
29855,2.38E-05,,
29855.5,2.68E-05,,
29856,2.22E-05,,
29856.5,1.71E-05,,
29857,2.39E-05,,
29857.5,2.30E-05,,
29858,1.96E-05,,
29858.5,1.41E-05,,
29859,1.90E-05,,
29859.5,2.76E-05,,
29860,2.37E-05,,
29860.5,1.77E-05,,
29861,2.48E-05,,
29861.5,3.11E-05,,
29862,3.22E-05,,
29862.5,2.06E-05,,
29863,1.70E-05,,
29863.5,1.90E-05,,
29864,1.73E-05,,
29864.5,2.32E-05,,
29865,1.84E-05,,
29865.5,1.54E-05,,
29866,1.70E-05,,
29866.5,1.03E-05,,
29867,2.11E-05,,
29867.5,2.14E-05,,
29868,2.38E-05,,
29868.5,2.35E-05,,
29869,2.65E-05,,
29869.5,3.42E-05,,
29870,2.48E-05,,
29870.5,2.22E-05,,
29871,2.94E-05,,
29871.5,3.24E-05,,
29872,3.26E-05,,
29872.5,3.05E-05,,
29873,2.02E-05,,
29873.5,1.56E-05,,
29874,2.49E-05,,
29874.5,1.80E-05,,
29875,1.16E-05,,
29875.5,2.19E-05,,
29876,2.14E-05,,
29876.5,2.26E-05,,
29877,2.19E-05,,
29877.5,3.02E-05,,
29878,2.89E-05,,
29878.5,2.04E-05,,
29879,2.32E-05,,
29879.5,2.45E-05,,
29880,1.90E-05,,
29880.5,2.21E-05,,
29881,2.81E-05,,
29881.5,3.01E-05,,
29882,2.30E-05,,
29882.5,2.82E-05,,
29883,3.43E-05,,
29883.5,3.05E-05,,
29884,2.05E-05,,
29884.5,2.17E-05,,
29885,2.49E-05,,
29885.5,2.31E-05,,
29886,1.75E-05,,
29886.5,2.61E-05,,
29887,1.99E-05,,
29887.5,1.50E-05,,
29888,2.10E-05,,
29888.5,2.21E-05,,
29889,1.99E-05,,
29889.5,3.20E-05,,
29890,3.39E-05,,
29890.5,2.43E-05,,
29891,2.08E-05,,
29891.5,2.41E-05,,
29892,2.49E-05,,
29892.5,2.83E-05,,
29893,1.93E-05,,
29893.5,1.51E-05,,
29894,2.33E-05,,
29894.5,2.86E-05,,
29895,2.12E-05,,
29895.5,2.95E-05,,
29896,2.81E-05,,
29896.5,2.08E-05,,
29897,2.33E-05,,
29897.5,3.36E-05,,
29898,2.71E-05,,
29898.5,2.60E-05,,
29899,1.56E-05,,
29899.5,2.07E-05,,
29900,2.07E-05,,
29900.5,2.38E-05,,
29901,2.14E-05,,
29901.5,2.28E-05,,
29902,1.88E-05,,
29902.5,2.06E-05,,
29903,2.50E-05,,
29903.5,2.14E-05,,
29904,2.66E-05,,
29904.5,2.62E-05,,
29905,2.33E-05,,
29905.5,1.69E-05,,
29906,2.15E-05,,
29906.5,3.40E-05,,
29907,3.11E-05,,
29907.5,2.79E-05,,
29908,2.59E-05,,
29908.5,2.21E-05,,
29909,1.89E-05,,
29909.5,2.05E-05,,
29910,1.84E-05,,
29910.5,1.33E-05,,
29911,2.48E-05,,
29911.5,2.53E-05,,
29912,2.28E-05,,
29912.5,2.06E-05,,
29913,1.84E-05,,
29913.5,1.77E-05,,
29914,1.76E-05,,
29914.5,2.44E-05,,
29915,2.93E-05,,
29915.5,2.18E-05,,
29916,1.57E-05,,
29916.5,1.91E-05,,
29917,1.35E-05,,
29917.5,2.09E-05,,
29918,2.49E-05,,
29918.5,1.99E-05,,
29919,2.28E-05,,
29919.5,1.88E-05,,
29920,1.95E-05,,
29920.5,2.28E-05,,
29921,2.91E-05,,
29921.5,2.92E-05,,
29922,2.87E-05,,
29922.5,3.12E-05,,
29923,2.16E-05,,
29923.5,2.85E-05,,
29924,2.85E-05,,
29924.5,1.41E-05,,
29925,1.67E-05,,
29925.5,2.37E-05,,
29926,1.18E-05,,
29926.5,1.84E-05,,
29927,3.01E-05,,
29927.5,2.76E-05,,
29928,2.37E-05,,
29928.5,1.87E-05,,
29929,1.63E-05,,
29929.5,1.38E-05,,
29930,1.71E-05,,
29930.5,2.56E-05,,
29931,2.75E-05,,
29931.5,1.51E-05,,
29932,1.69E-05,,
29932.5,1.90E-05,,
29933,2.56E-05,,
29933.5,2.88E-05,,
29934,2.08E-05,,
29934.5,1.50E-05,,
29935,1.72E-05,,
29935.5,1.68E-05,,
29936,1.95E-05,,
29936.5,1.61E-05,,
29937,1.85E-05,,
29937.5,2.56E-05,,
29938,2.08E-05,,
29938.5,2.18E-05,,
29939,2.85E-05,,
29939.5,2.16E-05,,
29940,2.18E-05,,
29940.5,2.00E-05,,
29941,4.03E-05,,
29941.5,3.37E-05,,
29942,2.19E-05,,
29942.5,2.31E-05,,
29943,1.82E-05,,
29943.5,2.07E-05,,
29944,2.68E-05,,
29944.5,1.40E-05,,
29945,2.07E-05,,
29945.5,2.58E-05,,
29946,2.17E-05,,
29946.5,2.68E-05,,
29947,2.84E-05,,
29947.5,1.69E-05,,
29948,1.48E-05,,
29948.5,2.07E-05,,
29949,2.71E-05,,
29949.5,2.25E-05,,
29950,2.38E-05,,
29950.5,2.56E-05,,
29951,2.06E-05,,
29951.5,1.66E-05,,
29952,3.35E-05,,
29952.5,3.40E-05,,
29953,2.39E-05,,
29953.5,3.46E-05,,
29954,2.86E-05,,
29954.5,1.79E-05,,
29955,2.55E-05,,
29955.5,1.55E-05,,
29956,1.96E-05,,
29956.5,3.26E-05,,
29957,2.42E-05,,
29957.5,2.57E-05,,
29958,2.69E-05,,
29958.5,2.87E-05,,
29959,2.98E-05,,
29959.5,1.75E-05,,
29960,1.86E-05,,
29960.5,2.23E-05,,
29961,1.86E-05,,
29961.5,2.07E-05,,
29962,2.87E-05,,
29962.5,2.74E-05,,
29963,3.43E-05,,
29963.5,2.06E-05,,
29964,1.68E-05,,
29964.5,2.46E-05,,
29965,1.70E-05,,
29965.5,2.36E-05,,
29966,2.10E-05,,
29966.5,3.34E-05,,
29967,3.44E-05,,
29967.5,1.78E-05,,
29968,2.88E-05,,
29968.5,2.44E-05,,
29969,2.48E-05,,
29969.5,2.38E-05,,
29970,2.25E-05,,
29970.5,2.17E-05,,
29971,2.07E-05,,
29971.5,2.47E-05,,
29972,1.73E-05,,
29972.5,2.65E-05,,
29973,1.90E-05,,
29973.5,1.85E-05,,
29974,1.87E-05,,
29974.5,1.68E-05,,
29975,2.19E-05,,
29975.5,2.32E-05,,
29976,2.56E-05,,
29976.5,2.74E-05,,
29977,2.05E-05,,
29977.5,2.48E-05,,
29978,1.78E-05,,
29978.5,2.22E-05,,
29979,3.50E-05,,
29979.5,2.32E-05,,
29980,1.42E-05,,
29980.5,1.53E-05,,
29981,1.92E-05,,
29981.5,1.57E-05,,
29982,1.55E-05,,
29982.5,1.43E-05,,
29983,1.37E-05,,
29983.5,1.89E-05,,
29984,1.78E-05,,
29984.5,1.89E-05,,
29985,1.98E-05,,
29985.5,1.60E-05,,
29986,2.30E-05,,
29986.5,2.30E-05,,
29987,1.81E-05,,
29987.5,1.49E-05,,
29988,2.28E-05,,
29988.5,2.22E-05,,
29989,2.08E-05,,
29989.5,2.82E-05,,
29990,2.46E-05,,
29990.5,2.22E-05,,
29991,1.78E-05,,
29991.5,1.80E-05,,
29992,2.94E-05,,
29992.5,2.55E-05,,
29993,2.79E-05,,
29993.5,1.42E-05,,
29994,1.64E-05,,
29994.5,2.33E-05,,
29995,2.55E-05,,
29995.5,1.71E-05,,
29996,2.58E-05,,
29996.5,3.37E-05,,
29997,2.22E-05,,
29997.5,2.40E-05,,
29998,2.97E-05,,
29998.5,2.39E-05,,
29999,2.87E-05,,
29999.5,2.66E-05,,
30000,3.13E-05,,
30000.5,2.48E-05,,
30001,2.24E-05,,
30001.5,2.88E-05,,
30002,2.68E-05,,
30002.5,2.71E-05,,
30003,2.38E-05,,
30003.5,1.74E-05,,
30004,1.88E-05,,
30004.5,1.83E-05,,
30005,2.29E-05,,
30005.5,2.55E-05,,
30006,2.18E-05,,
30006.5,1.82E-05,,
30007,1.99E-05,,
30007.5,1.89E-05,,
30008,1.61E-05,,
30008.5,2.36E-05,,
30009,1.83E-05,,
30009.5,2.35E-05,,
30010,3.11E-05,,
30010.5,2.16E-05,,
30011,2.63E-05,,
30011.5,2.95E-05,,
30012,2.29E-05,,
30012.5,2.57E-05,,
30013,2.31E-05,,
30013.5,2.35E-05,,
30014,2.13E-05,,
30014.5,2.38E-05,,
30015,2.50E-05,,
30015.5,2.43E-05,,
30016,2.52E-05,,
30016.5,2.28E-05,,
30017,1.90E-05,,
30017.5,1.40E-05,,
30018,1.48E-05,,
30018.5,1.90E-05,,
30019,1.92E-05,,
30019.5,2.05E-05,,
30020,2.40E-05,,
30020.5,3.14E-05,,
30021,2.26E-05,,
30021.5,2.09E-05,,
30022,1.70E-05,,
30022.5,1.73E-05,,
30023,2.37E-05,,
30023.5,2.62E-05,,
30024,1.78E-05,,
30024.5,1.84E-05,,
30025,1.75E-05,,
30025.5,1.98E-05,,
30026,2.01E-05,,
30026.5,1.69E-05,,
30027,2.06E-05,,
30027.5,1.85E-05,,
30028,1.98E-05,,
30028.5,2.46E-05,,
30029,1.84E-05,,
30029.5,1.37E-05,,
30030,1.30E-05,,
30030.5,1.56E-05,,
30031,2.63E-05,,
30031.5,2.18E-05,,
30032,2.05E-05,,
30032.5,1.61E-05,,
30033,2.22E-05,,
30033.5,2.60E-05,,
30034,1.85E-05,,
30034.5,1.42E-05,,
30035,1.68E-05,,
30035.5,2.40E-05,,
30036,2.47E-05,,
30036.5,2.36E-05,,
30037,2.38E-05,,
30037.5,2.43E-05,,
30038,2.30E-05,,
30038.5,1.36E-05,,
30039,1.89E-05,,
30039.5,2.15E-05,,
30040,1.96E-05,,
30040.5,1.99E-05,,
30041,1.95E-05,,
30041.5,2.28E-05,,
30042,2.71E-05,,
30042.5,2.92E-05,,
30043,2.59E-05,,
30043.5,2.33E-05,,
30044,2.34E-05,,
30044.5,3.29E-05,,
30045,3.17E-05,,
30045.5,2.86E-05,,
30046,2.71E-05,,
30046.5,2.43E-05,,
30047,2.95E-05,,
30047.5,3.41E-05,,
30048,3.92E-05,,
30048.5,2.78E-05,,
30049,2.21E-05,,
30049.5,1.75E-05,,
30050,2.28E-05,,
30050.5,3.92E-05,,
30051,3.01E-05,,
30051.5,2.79E-05,,
30052,2.76E-05,,
30052.5,3.17E-05,,
30053,2.81E-05,,
30053.5,2.31E-05,,
30054,2.64E-05,,
30054.5,3.09E-05,,
30055,4.40E-05,,
30055.5,3.48E-05,,
30056,2.69E-05,,
30056.5,2.43E-05,,
30057,2.33E-05,,
30057.5,3.40E-05,,
30058,2.10E-05,,
30058.5,1.76E-05,,
30059,1.57E-05,,
30059.5,1.89E-05,,
30060,2.45E-05,,
30060.5,2.40E-05,,
30061,2.26E-05,,
30061.5,1.42E-05,,
30062,1.70E-05,,
30062.5,1.24E-05,,
30063,1.95E-05,,
30063.5,1.87E-05,,
30064,2.11E-05,,
30064.5,3.04E-05,,
30065,3.12E-05,,
30065.5,3.03E-05,,
30066,2.62E-05,,
30066.5,2.03E-05,,
30067,2.43E-05,,
30067.5,2.35E-05,,
30068,1.81E-05,,
30068.5,3.06E-05,,
30069,2.46E-05,,
30069.5,2.19E-05,,
30070,2.40E-05,,
30070.5,1.45E-05,,
30071,1.17E-05,,
30071.5,2.07E-05,,
30072,2.28E-05,,
30072.5,2.85E-05,,
30073,3.63E-05,,
30073.5,3.58E-05,,
30074,2.81E-05,,
30074.5,2.47E-05,,
30075,2.55E-05,,
30075.5,2.41E-05,,
30076,2.66E-05,,
30076.5,2.25E-05,,
30077,1.85E-05,,
30077.5,1.94E-05,,
30078,2.13E-05,,
30078.5,2.84E-05,,
30079,1.97E-05,,
30079.5,1.77E-05,,
30080,2.92E-05,,
30080.5,1.86E-05,,
30081,2.04E-05,,
30081.5,2.27E-05,,
30082,2.42E-05,,
30082.5,2.63E-05,,
30083,1.60E-05,,
30083.5,2.11E-05,,
30084,2.27E-05,,
30084.5,2.92E-05,,
30085,2.28E-05,,
30085.5,2.59E-05,,
30086,2.30E-05,,
30086.5,2.14E-05,,
30087,1.97E-05,,
30087.5,1.78E-05,,
30088,2.51E-05,,
30088.5,2.45E-05,,
30089,2.04E-05,,
30089.5,2.14E-05,,
30090,1.88E-05,,
30090.5,2.32E-05,,
30091,2.58E-05,,
30091.5,3.12E-05,,
30092,2.87E-05,,
30092.5,1.52E-05,,
30093,1.71E-05,,
30093.5,2.35E-05,,
30094,2.60E-05,,
30094.5,2.58E-05,,
30095,2.58E-05,,
30095.5,2.16E-05,,
30096,1.88E-05,,
30096.5,1.45E-05,,
30097,2.40E-05,,
30097.5,2.53E-05,,
30098,2.52E-05,,
30098.5,2.49E-05,,
30099,1.93E-05,,
30099.5,2.20E-05,,
30100,1.95E-05,,
30100.5,1.95E-05,,
30101,2.55E-05,,
30101.5,2.02E-05,,
30102,1.96E-05,,
30102.5,2.81E-05,,
30103,3.76E-05,,
30103.5,2.33E-05,,
30104,2.14E-05,,
30104.5,1.57E-05,,
30105,1.24E-05,,
30105.5,1.67E-05,,
30106,2.13E-05,,
30106.5,2.41E-05,,
30107,3.73E-05,,
30107.5,4.05E-05,,
30108,3.28E-05,,
30108.5,2.93E-05,,
30109,2.11E-05,,
30109.5,2.56E-05,,
30110,3.07E-05,,
30110.5,2.11E-05,,
30111,1.81E-05,,
30111.5,1.49E-05,,
30112,1.93E-05,,
30112.5,2.49E-05,,
30113,2.08E-05,,
30113.5,2.82E-05,,
30114,2.42E-05,,
30114.5,2.13E-05,,
30115,2.38E-05,,
30115.5,2.58E-05,,
30116,2.55E-05,,
30116.5,1.86E-05,,
30117,1.10E-05,,
30117.5,2.00E-05,,
30118,2.30E-05,,
30118.5,2.33E-05,,
30119,2.03E-05,,
30119.5,1.78E-05,,
30120,1.46E-05,,
30120.5,1.61E-05,,
30121,2.13E-05,,
30121.5,2.40E-05,,
30122,2.11E-05,,
30122.5,3.49E-05,,
30123,3.58E-05,,
30123.5,2.96E-05,,
30124,2.26E-05,,
30124.5,1.73E-05,,
30125,2.60E-05,,
30125.5,2.43E-05,,
30126,2.75E-05,,
30126.5,2.82E-05,,
30127,2.94E-05,,
30127.5,3.24E-05,,
30128,3.07E-05,,
30128.5,3.21E-05,,
30129,2.40E-05,,
30129.5,1.82E-05,,
30130,1.73E-05,,
30130.5,1.99E-05,,
30131,2.17E-05,,
30131.5,1.72E-05,,
30132,1.95E-05,,
30132.5,2.45E-05,,
30133,2.50E-05,,
30133.5,1.97E-05,,
30134,1.32E-05,,
30134.5,2.01E-05,,
30135,2.08E-05,,
30135.5,1.90E-05,,
30136,1.46E-05,,
30136.5,2.52E-05,,
30137,2.21E-05,,
30137.5,2.05E-05,,
30138,1.65E-05,,
30138.5,2.02E-05,,
30139,2.05E-05,,
30139.5,2.36E-05,,
30140,2.65E-05,,
30140.5,3.17E-05,,
30141,2.42E-05,,
30141.5,2.01E-05,,
30142,1.64E-05,,
30142.5,2.09E-05,,
30143,1.90E-05,,
30143.5,1.39E-05,,
30144,1.35E-05,,
30144.5,1.37E-05,,
30145,1.52E-05,,
30145.5,1.73E-05,,
30146,1.91E-05,,
30146.5,1.57E-05,,
30147,2.03E-05,,
30147.5,2.64E-05,,
30148,3.25E-05,,
30148.5,2.56E-05,,
30149,2.22E-05,,
30149.5,2.02E-05,,
30150,2.01E-05,,
30150.5,2.35E-05,,
30151,2.13E-05,,
30151.5,1.41E-05,,
30152,2.28E-05,,
30152.5,2.55E-05,,
30153,1.76E-05,,
30153.5,1.90E-05,,
30154,1.55E-05,,
30154.5,1.90E-05,,
30155,2.20E-05,,
30155.5,2.57E-05,,
30156,2.08E-05,,
30156.5,1.60E-05,,
30157,1.68E-05,,
30157.5,2.04E-05,,
30158,2.09E-05,,
30158.5,1.93E-05,,
30159,2.07E-05,,
30159.5,2.06E-05,,
30160,2.17E-05,,
30160.5,2.62E-05,,
30161,2.92E-05,,
30161.5,2.93E-05,,
30162,2.37E-05,,
30162.5,1.90E-05,,
30163,2.50E-05,,
30163.5,2.91E-05,,
30164,2.67E-05,,
30164.5,1.48E-05,,
30165,1.75E-05,,
30165.5,1.96E-05,,
30166,2.55E-05,,
30166.5,2.71E-05,,
30167,2.48E-05,,
30167.5,2.87E-05,,
30168,3.56E-05,,
30168.5,3.21E-05,,
30169,2.78E-05,,
30169.5,1.74E-05,,
30170,1.29E-05,,
30170.5,1.56E-05,,
30171,2.20E-05,,
30171.5,2.13E-05,,
30172,1.97E-05,,
30172.5,1.66E-05,,
30173,1.96E-05,,
30173.5,1.66E-05,,
30174,2.47E-05,,
30174.5,3.72E-05,,
30175,3.13E-05,,
30175.5,2.43E-05,,
30176,1.33E-05,,
30176.5,1.49E-05,,
30177,1.57E-05,,
30177.5,2.19E-05,,
30178,2.31E-05,,
30178.5,2.05E-05,,
30179,2.07E-05,,
30179.5,2.40E-05,,
30180,1.83E-05,,
30180.5,2.35E-05,,
30181,2.10E-05,,
30181.5,1.75E-05,,
30182,1.56E-05,,
30182.5,1.07E-05,,
30183,1.77E-05,,
30183.5,2.08E-05,,
30184,1.45E-05,,
30184.5,1.75E-05,,
30185,2.32E-05,,
30185.5,3.11E-05,,
30186,2.53E-05,,
30186.5,2.14E-05,,
30187,2.40E-05,,
30187.5,1.71E-05,,
30188,2.47E-05,,
30188.5,2.32E-05,,
30189,2.69E-05,,
30189.5,3.28E-05,,
30190,2.49E-05,,
30190.5,3.28E-05,,
30191,3.60E-05,,
30191.5,1.99E-05,,
30192,2.83E-05,,
30192.5,2.83E-05,,
30193,2.44E-05,,
30193.5,2.79E-05,,
30194,3.57E-05,,
30194.5,2.58E-05,,
30195,1.46E-05,,
30195.5,1.90E-05,,
30196,1.82E-05,,
30196.5,1.29E-05,,
30197,1.77E-05,,
30197.5,3.04E-05,,
30198,2.09E-05,,
30198.5,2.09E-05,,
30199,1.52E-05,,
30199.5,1.91E-05,,
30200,2.07E-05,,
30200.5,2.33E-05,,
30201,2.05E-05,,
30201.5,1.66E-05,,
30202,2.10E-05,,
30202.5,2.47E-05,,
30203,2.79E-05,,
30203.5,2.64E-05,,
30204,2.41E-05,,
30204.5,2.20E-05,,
30205,2.76E-05,,
30205.5,2.67E-05,,
30206,2.36E-05,,
30206.5,2.36E-05,,
30207,2.31E-05,,
30207.5,1.67E-05,,
30208,1.80E-05,,
30208.5,1.14E-05,,
30209,1.77E-05,,
30209.5,2.27E-05,,
30210,1.94E-05,,
30210.5,2.18E-05,,
30211,2.92E-05,,
30211.5,3.37E-05,,
30212,3.48E-05,,
30212.5,3.68E-05,,
30213,2.08E-05,,
30213.5,1.29E-05,,
30214,1.37E-05,,
30214.5,2.06E-05,,
30215,2.62E-05,,
30215.5,2.44E-05,,
30216,2.06E-05,,
30216.5,1.74E-05,,
30217,1.44E-05,,
30217.5,2.39E-05,,
30218,2.65E-05,,
30218.5,2.85E-05,,
30219,3.10E-05,,
30219.5,3.32E-05,,
30220,2.45E-05,,
30220.5,2.51E-05,,
30221,2.21E-05,,
30221.5,1.91E-05,,
30222,2.44E-05,,
30222.5,2.91E-05,,
30223,1.98E-05,,
30223.5,2.62E-05,,
30224,2.98E-05,,
30224.5,1.74E-05,,
30225,1.72E-05,,
30225.5,2.58E-05,,
30226,2.33E-05,,
30226.5,2.47E-05,,
30227,2.67E-05,,
30227.5,2.80E-05,,
30228,3.23E-05,,
30228.5,2.79E-05,,
30229,2.07E-05,,
30229.5,2.90E-05,,
30230,2.94E-05,,
30230.5,1.94E-05,,
30231,1.95E-05,,
30231.5,2.87E-05,,
30232,2.59E-05,,
30232.5,2.53E-05,,
30233,2.56E-05,,
30233.5,2.14E-05,,
30234,2.92E-05,,
30234.5,2.06E-05,,
30235,2.15E-05,,
30235.5,1.91E-05,,
30236,1.97E-05,,
30236.5,2.25E-05,,
30237,3.14E-05,,
30237.5,2.76E-05,,
30238,2.46E-05,,
30238.5,2.51E-05,,
30239,2.39E-05,,
30239.5,1.41E-05,,
30240,1.47E-05,,
30240.5,1.55E-05,,
30241,1.31E-05,,
30241.5,2.23E-05,,
30242,3.28E-05,,
30242.5,3.14E-05,,
30243,3.06E-05,,
30243.5,2.45E-05,,
30244,1.63E-05,,
30244.5,2.08E-05,,
30245,2.87E-05,,
30245.5,2.69E-05,,
30246,3.18E-05,,
30246.5,4.23E-05,,
30247,3.58E-05,,
30247.5,3.29E-05,,
30248,3.73E-05,,
30248.5,2.65E-05,,
30249,1.86E-05,,
30249.5,1.97E-05,,
30250,1.98E-05,,
30250.5,1.80E-05,,
30251,2.52E-05,,
30251.5,2.59E-05,,
30252,2.63E-05,,
30252.5,2.01E-05,,
30253,2.69E-05,,
30253.5,2.69E-05,,
30254,1.97E-05,,
30254.5,2.00E-05,,
30255,2.94E-05,,
30255.5,2.63E-05,,
30256,1.39E-05,,
30256.5,1.83E-05,,
30257,1.67E-05,,
30257.5,8.96E-06,,
30258,1.35E-05,,
30258.5,2.04E-05,,
30259,2.36E-05,,
30259.5,2.54E-05,,
30260,2.08E-05,,
30260.5,2.21E-05,,
30261,1.53E-05,,
30261.5,1.43E-05,,
30262,2.01E-05,,
30262.5,2.93E-05,,
30263,2.80E-05,,
30263.5,2.97E-05,,
30264,2.46E-05,,
30264.5,2.35E-05,,
30265,2.87E-05,,
30265.5,3.13E-05,,
30266,2.18E-05,,
30266.5,1.63E-05,,
30267,2.11E-05,,
30267.5,1.36E-05,,
30268,1.80E-05,,
30268.5,2.88E-05,,
30269,2.73E-05,,
30269.5,2.37E-05,,
30270,1.91E-05,,
30270.5,2.15E-05,,
30271,1.87E-05,,
30271.5,1.96E-05,,
30272,1.69E-05,,
30272.5,2.39E-05,,
30273,1.60E-05,,
30273.5,1.61E-05,,
30274,2.07E-05,,
30274.5,1.50E-05,,
30275,1.42E-05,,
30275.5,2.67E-05,,
30276,2.57E-05,,
30276.5,2.13E-05,,
30277,1.84E-05,,
30277.5,2.16E-05,,
30278,2.29E-05,,
30278.5,2.68E-05,,
30279,2.88E-05,,
30279.5,2.04E-05,,
30280,2.97E-05,,
30280.5,4.44E-05,,
